序號,員工,上班日期,上班時間,下班時間,工時,異常狀態,
180,郭小嬋,2017/06/29,,,,請確認是否有請假等相關紀錄,
181,郭小嬋,2017/06/30,,,,請確認是否有請假等相關紀錄,
182,郭小嬋,2017/07/03,12:06:11,19:47:51,07:41,工時未滿8小時,
183,郭小嬋,2017/07/04,09:47:33,19:48:02,10:00,,
184,郭小嬋,2017/07/05,09:52:47,19:34:42,09:41,,
185,郭小嬋,2017/07/06,09:57:46,20:06:08,10:08,,
186,郭小嬋,2017/07/07,10:00:20,19:59:15,09:58,,
187,郭小嬋,2017/07/10,09:55:34,20:36:26,10:40,,
188,郭小嬋,2017/07/11,09:57:49,20:01:22,10:03,,
189,郭小嬋,2017/07/12,09:59:44,19:39:56,09:40,,
190,郭小嬋,2017/07/13,,,,請確認是否有請假等相關紀錄,
191,郭小嬋,2017/07/14,,,,請確認是否有請假等相關紀錄,
192,郭小嬋,2017/07/17,10:01:07,19:22:01,09:20,,
193,郭小嬋,2017/07/18,10:00:29,19:57:27,09:56,,
194,郭小嬋,2017/07/19,10:05:52,19:51:13,09:45,,
195,郭小嬋,2017/07/20,10:02:36,20:48:26,10:45,,
196,郭小嬋,2017/07/21,10:05:14,19:18:08,09:12,,
197,郭小嬋,2017/07/24,10:03:58,19:43:59,09:40,,
198,郭小嬋,2017/07/25,10:04:30,19:32:44,09:28,,
199,黃思嘉,2017/06/26,,,,請確認是否有請假等相關紀錄,
200,黃思嘉,2017/06/27,,,,請確認是否有請假等相關紀錄,
201,黃思嘉,2017/06/28,,,,請確認是否有請假等相關紀錄,
202,黃思嘉,2017/06/29,,,,請確認是否有請假等相關紀錄,
203,黃思嘉,2017/06/30,,,,請確認是否有請假等相關紀錄,
204,黃思嘉,2017/07/03,12:06:24,19:47:56,07:41,工時未滿8小時,
205,黃思嘉,2017/07/04,09:47:29,19:47:58,10:00,,
206,黃思嘉,2017/07/05,09:52:54,19:34:46,09:41,,
207,黃思嘉,2017/07/06,09:57:43,20:06:05,10:08,,
208,黃思嘉,2017/07/07,10:00:26,19:58:39,09:58,,
209,黃思嘉,2017/07/10,09:55:39,20:36:31,10:40,,
210,黃思嘉,2017/07/11,09:57:57,20:01:17,10:03,,
211,黃思嘉,2017/07/12,09:59:50,19:39:23,09:39,,
212,黃思嘉,2017/07/13,10:13:42,19:52:17,09:38,,
213,黃思嘉,2017/07/14,09:45:42,20:01:33,10:15,,
214,黃思嘉,2017/07/17,10:01:13,19:21:55,09:20,,
215,黃思嘉,2017/07/18,10:00:23,19:57:15,09:56,,
216,黃思嘉,2017/07/19,10:05:57,19:51:10,09:45,,
217,黃思嘉,2017/07/20,10:02:40,20:49:52,10:47,,
218,黃思嘉,2017/07/21,10:05:19,19:18:14,09:12,,
219,黃思嘉,2017/07/24,10:04:06,19:44:44,09:40,,
220,黃思嘉,2017/07/25,10:04:35,19:32:40,09:28,,
